id,season,date,round,home,away,attendance,kickoff,homeScore,awayScore,temp,rain,wind,source,provenance,weatherSource,reviewed,day,week,weather,slot
2026-2027-2026-08-28-Trefelin Boys & Girls Club,2026-2027,2026-08-28,5,Trefelin Boys & Girls Club,Ammanford AFC,660.0,19:45,1.0,1.0,17.1,0.7999999999999999,14.2,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Friday,2026-08-24,Dry,Evening
2026-2027-2026-08-31-Airbus UK Broughton,2026-2027,2026-08-31,6,Airbus UK Broughton,Holywell Town,435.0,14:30,6.0,2.0,18.0,0.4,24.2,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Monday,2026-08-31,Dry,Afternoon
2026-2027-2026-08-31-Ammanford AFC,2026-2027,2026-08-31,6,Ammanford AFC,Cardiff Metropolitan University,589.0,14:30,0.0,5.0,18.0,0.4,20.1,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Monday,2026-08-31,Dry,Afternoon
2026-2027-2026-08-31-Briton Ferry Llansawel,2026-2027,2026-08-31,6,Briton Ferry Llansawel,Barry Town United,927.0,14:30,1.0,4.0,18.2,1.3,18.8,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Monday,2026-08-31,Wet,Afternoon
2026-2027-2026-08-31-Cambrian United,2026-2027,2026-08-31,6,Cambrian United,Penybont FC,1100.0,14:30,2.0,2.0,17.7,0.30000000000000004,19.1,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Monday,2026-08-31,Dry,Afternoon
2026-2027-2026-08-31-Flint Town United,2026-2027,2026-08-31,6,Flint Town United,Connah's Quay Nomads,763.0,14:30,1.0,2.0,17.2,0.5,25.7,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Monday,2026-08-31,Dry,Afternoon
2026-2027-2026-08-31-Haverfordwest County,2026-2027,2026-08-31,6,Haverfordwest County,Trefelin Boys & Girls Club,703.0,14:30,2.0,1.0,16.9,0.0,20.7,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Monday,2026-08-31,Dry,Afternoon
2026-2027-2026-08-31-Caernarfon Town,2026-2027,2026-08-31,6,Caernarfon Town,The New Saints,1392.0,15:00,2.0,3.0,16.8,0.30000000000000004,21.9,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Monday,2026-08-31,Dry,Afternoon
2026-2027-2026-08-31-Colwyn Bay,2026-2027,2026-08-31,6,Colwyn Bay,Llandudno FC,2037.0,17:15,2.0,0.0,15.7,0.8,21.6,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Monday,2026-08-31,Dry,Evening
2026-2027-2026-09-04-Briton Ferry Llansawel,2026-2027,2026-09-04,7,Briton Ferry Llansawel,Airbus UK Broughton,421.0,19:45,0.0,2.0,16.3,0.0,16.0,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Friday,2026-08-31,Dry,Evening
2026-2027-2026-09-04-Caernarfon Town,2026-2027,2026-09-04,7,Caernarfon Town,Flint Town United,1199.0,19:45,3.0,0.0,15.6,0.9,24.0,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Friday,2026-08-31,Dry,Evening
2026-2027-2026-09-04-Cardiff Metropolitan University,2026-2027,2026-09-04,7,Cardiff Metropolitan University,Cambrian United,359.0,19:45,2.0,2.0,15.9,0.0,16.8,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Friday,2026-08-31,Dry,Evening
2026-2027-2026-09-04-Connah's Quay Nomads,2026-2027,2026-09-04,7,Connah's Quay Nomads,Haverfordwest County,262.0,19:45,1.0,1.0,16.4,0.0,19.3,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Friday,2026-08-31,Dry,Evening
2026-2027-2026-09-04-Holywell Town,2026-2027,2026-09-04,7,Holywell Town,Trefelin Boys & Girls Club,402.0,19:45,1.0,1.0,15.8,0.0,21.0,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Friday,2026-08-31,Dry,Evening
2026-2027-2026-09-04-Llandudno FC,2026-2027,2026-09-04,7,Llandudno FC,Ammanford AFC,324.0,19:45,2.0,0.0,16.3,0.4,22.9,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Friday,2026-08-31,Dry,Evening
2026-2027-2026-09-05-Penybont FC,2026-2027,2026-09-05,7,Penybont FC,Colwyn Bay,441.0,12:30,1.0,0.0,16.5,0.0,14.0,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Saturday,2026-08-31,Dry,Lunchtime
2026-2027-2026-09-05-The New Saints,2026-2027,2026-09-05,7,The New Saints,Barry Town United,412.0,17:15,1.0,0.0,17.4,0.0,12.2,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Saturday,2026-08-31,Dry,Evening
fwp-576586,2026-2027,2026-09-11,8,Airbus UK Broughton,The New Saints,340.0,19:45,0.0,2.0,15.0,0.0,8.0,https://www.footballwebpages.co.uk/match/2026-2027/cymru-premier/airbus-uk-broughton/the-new-saints/576586,Football Web Pages,https://archive-api.open-meteo.com/v1/archive?latitude=53.17202&longitude=-2.97965&start_date=2026-09-11&end_date=2026-09-19&hourly=temperature_2m%2Cprecipitation%2Cwind_speed_10m&timezone=Europe%2FLondon,2026-09-20,Friday,2026-09-07,Dry,Evening
fwp-576587,2026-2027,2026-09-11,8,Ammanford AFC,Caernarfon Town,524.0,19:45,0.0,5.0,16.4,0.4,4.0,https://www.footballwebpages.co.uk/match/2026-2027/cymru-premier/ammanford/caernarfon-town/576587,Football Web Pages,https://archive-api.open-meteo.com/v1/archive?latitude=51.79754&longitude=-3.99634&start_date=2026-09-11&end_date=2026-09-19&hourly=temperature_2m%2Cprecipitation%2Cwind_speed_10m&timezone=Europe%2FLondon,2026-09-20,Friday,2026-09-07,Dry,Evening
fwp-576588,2026-2027,2026-09-11,8,Barry Town United,Llandudno FC,693.0,19:45,4.0,1.0,16.8,0.0,18.2,https://www.footballwebpages.co.uk/match/2026-2027/cymru-premier/barry-town-united/llandudno/576588,Football Web Pages,https://archive-api.open-meteo.com/v1/archive?latitude=51.4109137&longitude=-3.2657803&start_date=2026-09-11&end_date=2026-09-19&hourly=temperature_2m%2Cprecipitation%2Cwind_speed_10m&timezone=Europe%2FLondon,2026-09-20,Friday,2026-09-07,Dry,Evening
fwp-576589,2026-2027,2026-09-11,8,Cambrian United,Holywell Town,572.0,19:45,2.0,1.0,15.2,0.0,11.9,https://www.footballwebpages.co.uk/match/2026-2027/cymru-premier/cambrian-united/holywell-town/576589,Football Web Pages,https://archive-api.open-meteo.com/v1/archive?latitude=51.62648&longitude=-3.48129&start_date=2026-09-11&end_date=2026-09-19&hourly=temperature_2m%2Cprecipitation%2Cwind_speed_10m&timezone=Europe%2FLondon,2026-09-20,Friday,2026-09-07,Dry,Evening
fwp-576591,2026-2027,2026-09-11,8,Flint Town United,Cardiff Metropolitan University,324.0,19:45,1.0,1.0,14.4,0.0,6.4,https://www.footballwebpages.co.uk/match/2026-2027/cymru-premier/flint-town-united/cardiff-met/576591,Football Web Pages,https://archive-api.open-meteo.com/v1/archive?latitude=53.24923&longitude=-3.1257927&start_date=2026-09-11&end_date=2026-09-19&hourly=temperature_2m%2Cprecipitation%2Cwind_speed_10m&timezone=Europe%2FLondon,2026-09-20,Friday,2026-09-07,Dry,Evening
fwp-576592,2026-2027,2026-09-11,8,Haverfordwest County,Briton Ferry Llansawel,586.0,19:45,3.0,1.0,15.2,0.0,4.8,https://www.footballwebpages.co.uk/match/2026-2027/cymru-premier/haverfordwest-county/briton-ferry-llansawel/576592,Football Web Pages,https://archive-api.open-meteo.com/v1/archive?latitude=51.8092116&longitude=-4.9675328&start_date=2026-09-11&end_date=2026-09-19&hourly=temperature_2m%2Cprecipitation%2Cwind_speed_10m&timezone=Europe%2FLondon,2026-09-20,Friday,2026-09-07,Dry,Evening
fwp-576593,2026-2027,2026-09-11,8,Trefelin Boys & Girls Club,Penybont FC,785.0,19:45,0.0,1.0,15.9,0.1,9.8,https://www.footballwebpages.co.uk/match/2026-2027/cymru-premier/trefelin-bgc/penybont/576593,Football Web Pages,https://archive-api.open-meteo.com/v1/archive?latitude=51.6067128&longitude=-3.7725382&start_date=2026-09-11&end_date=2026-09-19&hourly=temperature_2m%2Cprecipitation%2Cwind_speed_10m&timezone=Europe%2FLondon,2026-09-20,Friday,2026-09-07,Dry,Evening
fwp-591166,2026-2027,2026-09-12,8,Colwyn Bay,Connah's Quay Nomads,1102.0,17:30,2.0,1.0,19.9,0.1,18.5,https://www.footballwebpages.co.uk/match/2026-2027/cymru-premier/colwyn-bay/connahs-quay-nomads/591166,Football Web Pages,https://archive-api.open-meteo.com/v1/archive?latitude=53.2765046&longitude=-3.7014523&start_date=2026-09-11&end_date=2026-09-19&hourly=temperature_2m%2Cprecipitation%2Cwind_speed_10m&timezone=Europe%2FLondon,2026-09-20,Saturday,2026-09-07,Dry,Evening
fwp-576594,2026-2027,2026-09-15,9,Barry Town United,Ammanford AFC,587.0,19:45,2.0,2.0,16.3,0.1,17.9,https://www.footballwebpages.co.uk/match/2026-2027/cymru-premier/barry-town-united/ammanford/576594,Football Web Pages,https://archive-api.open-meteo.com/v1/archive?latitude=51.4109137&longitude=-3.2657803&start_date=2026-09-11&end_date=2026-09-19&hourly=temperature_2m%2Cprecipitation%2Cwind_speed_10m&timezone=Europe%2FLondon,2026-09-20,Tuesday,2026-09-14,Dry,Evening
